iter	MAE
0	0.2262461514
1	0.217955825
2	0.2101199129
3	0.2025677017
4	0.1955225599
5	0.1890603991
6	0.1832014111
7	0.1781034703
8	0.1733444881
9	0.1691710371
10	0.1650658755
11	0.1610981688
12	0.1575314818
13	0.1543892535
14	0.1516089436
15	0.1487912992
16	0.1462742554
17	0.1440688867
18	0.1418774231
19	0.1399891614
20	0.1382890659
21	0.1367920249
22	0.1354280395
23	0.1342002901
24	0.1331531045
25	0.1321741472
26	0.1313443968
27	0.1305631349
28	0.1298287035
29	0.1291516273
30	0.1285838105
31	0.1280956243
32	0.1277059597
33	0.1272494217
34	0.1269012957
35	0.1265771515
36	0.1262940986
37	0.1260261095
38	0.1257223637
39	0.1255175211
40	0.1252814999
41	0.1251012085
42	0.1249480215
43	0.1247970242
44	0.1246671573
45	0.1245132132
46	0.1244040117
47	0.1242915858
48	0.1242011543
49	0.1240999294
50	0.1240155706
51	0.1239297738
52	0.1238474304
53	0.1237715743
54	0.1237027365
55	0.1236454006
56	0.1235766532
57	0.1235154039
58	0.1234517813
59	0.1233895532
60	0.1233400146
61	0.123288674
62	0.1232404247
63	0.1231896277
64	0.1231479947
65	0.1231097258
66	0.1230731351
67	0.123032843
68	0.1229988166
69	0.1229609078
70	0.1229308336
71	0.1228997104
72	0.1228564286
73	0.1228246071
74	0.1227824246
75	0.122751004
76	0.1227253077
77	0.1226885876
78	0.1226518613
79	0.122623709
80	0.1225924991
81	0.1225655646
82	0.122536649
83	0.1225144706
84	0.122489696
85	0.122470031
86	0.1224451501
87	0.122424703
88	0.1224057567
89	0.122385294
90	0.1223636591
91	0.1223411275
92	0.1223078744
93	0.1222889342
94	0.1222766955
95	0.1222604763
96	0.1222437647
97	0.1222290257
98	0.1222122763
99	0.1221911127
100	0.122177488
101	0.1221610308
102	0.1221397123
103	0.1221172732
104	0.1220951393
105	0.1220829309
106	0.1220638099
107	0.1220490418
108	0.1220319751
109	0.1220189552
110	0.12199544
111	0.1219838959
112	0.1219752178
113	0.1219558282
114	0.1219448482
115	0.1219354923
116	0.121909684
117	0.1218798055
118	0.12185656
119	0.1218359168
120	0.1218184309
121	0.1218018244
122	0.1217761806
123	0.1217698143
124	0.1217542857
125	0.1217415266
126	0.121734353
127	0.1217219119
128	0.1217126697
129	0.121698983
130	0.1216823658
131	0.1216717031
132	0.1216624281
133	0.1216437827
134	0.1216210743
135	0.1216106535
136	0.1216012394
137	0.1215764096
138	0.121568734
139	0.1215654521
140	0.1215558182
141	0.1215355319
142	0.1215197143
143	0.1215034087
144	0.1214843492
145	0.1214777408
146	0.1214599161
147	0.1214530125
148	0.1214360035
